restaurant,cuisine,stars,long,lat,lower_price,higher_price
U Santa Marina,Modern Cuisine,1,9.2807704,41.5331974,81.9,173.25
La Magnolia,Modern Cuisine,1,10.1801404,43.9475312,105.0,136.5
Lux Lucis,Creative,1,10.1699392,43.9595891,105.0,157.5
Lorenzo,Seafood,1,10.1699392,43.9595891,63.0,147.0
Bistrot,Seafood,1,10.1699392,43.9595891,84.0,147.0
Il Desco,Italian Contemporary,1,10.9998943,45.4416309,89.25,157.5
Ca' Matilde,Modern Cuisine,1,10.525093,44.6513054,84.0,115.5
12 Apostoli,Modern Cuisine,1,10.9960526,45.4426516,126.0,168.0
Malga Panna,Country cooking,1,11.6720305,46.3796162,63.0,110.25
La Cru,Italian Contemporary,1,11.0410122,45.522782,78.75,126.0
Il Parco di Villa Grey,Modern Cuisine,1,10.1674454,43.9580061,94.5,157.5
'L Chimpl,Creative,1,11.6581055,46.4067215,47.25,94.5
Alpenroyal Gourmet,Creative,1,11.7814089,46.5146863,120.75,155.4
Anna Stuben,Creative,1,11.68455715474857,46.5904618,111.3,136.5
El Molin,Creative,1,11.4604681,46.291187,115.5,157.5
Amistà,Modern Cuisine,1,10.8989492,45.4887207,99.75,147.0
Schöneck,Regional Cuisine,1,11.8480122,46.8187041,73.5,100.8
Johannesstube,Modern Cuisine,1,11.5332378,46.4296155,92.4,162.75
Johanns,Modern Cuisine,1,13.6006504,48.7296736,14.7,86.1
Senso Alfio Ghezzi Mart,Creative,1,11.0452369,45.886548,84.0,105.0
Apostelstube,Modern Cuisine,1,11.65351461328069,46.71938535,99.75,120.75
Astra,Creative,1,11.4601701,46.4808416,80.85,115.5
Oseleta,Creative,1,10.7701873,45.5402927,69.3,136.5
Parizzi,Creative,1,10.3363955,44.7996288,54.6,78.75
Locanda Margon,Creative,1,11.1087943,46.0245772,105.0,210.0
Inkiostro,Creative,1,10.3342313,44.8210402,84.0,141.75
La Veranda del Color,Mediterranean Cuisine,1,10.7257554,45.542873,79.8,157.5
La Table de la Ferme,Corsican,1,8.902229512084709,41.50815875,220.5,220.5
1908,Creative,1,11.4063468,46.5295495,73.5,131.25
In Viaggio - Claudio Melis,Creative,1,11.35793662560729,46.500232,94.5,136.5
Vecchia Malcesine,Modern Cuisine,1,10.8082474,45.7622219,94.5,147.0
Peter Brunel Ristorante Gourmet,Modern Cuisine,1,10.8789638,45.8873217,29.4,147.0
La Speranzina Restaurant & Relais,Creative,1,10.608637,45.4930449,84.0,141.75
